,Airport_ID,Name,lat,lon,country,continent,IATA,ICAO,Altitude,cluster_coefficient,degree
95,96,Matagami Airport,49.76169967651367,-77.80280303955078,Canada,North America,YNM,CYNM,918,,
96,97,Old Crow Airport,67.57060241699219,-139.83900451660156,Canada,North America,YOC,CYOC,824,,
97,98,CFB Cold Lake,54.40499877929688,-110.27899932861328,Canada,North America,YOD,CYOD,1775,,
98,99,High Level Airport,58.62139892578125,-117.16500091552734,Canada,North America,YOJ,CYOJ,1110,1.0,4.0
99,100,Ottawa Macdonald-Cartier International Airport,45.3224983215332,-75.66919708251953,Canada,North America,YOW,CYOW,374,0.4215384615384615,89.0
100,101,Prince Albert Glass Field,53.214199066199996,-105.672996521,Canada,North America,YPA,CYPA,1405,,
101,102,Peace River Airport,56.22689819335938,-117.4469985961914,Canada,North America,YPE,CYPE,1873,,
102,103,Southport Airport,49.903099,-98.27381700000001,Canada,North America,YPG,CYPG,885,,
103,104,Pitt Meadows Airport,49.21609878540039,-122.70999908447266,Canada,North America,\N,CYPK,11,,
104,105,Pickle Lake Airport,51.4463996887207,-90.21420288085938,Canada,North America,YPL,CYPL,1267,1.0,2.0
105,106,Port Menier Airport,49.83639907836914,-64.28859710693361,Canada,North America,YPN,CYPN,167,1.0,4.0
106,107,Peterborough Airport,44.22999954223633,-78.36329650878906,Canada,North America,YPQ,CYPQ,628,,
107,108,Prince Rupert Airport,54.2860984802,-130.445007324,Canada,North America,YPR,CYPR,116,0.0,4.0
108,109,Fort Chipewyan Airport,58.7672004699707,-111.11699676513672,Canada,North America,YPY,CYPY,761,0.0,4.0
109,110,Muskoka Airport,44.974700927734375,-79.30329895019531,Canada,North America,YQA,CYQA,925,,
110,111,Quebec Jean Lesage International Airport,46.7911,-71.393303,Canada,North America,YQB,CYQB,244,0.2894736842105263,57.0
111,112,Red Deer Regional Airport,52.18220138549805,-113.8939971923828,Canada,North America,YQF,CYQF,2968,0.6666666666666666,6.0
112,113,Windsor Airport,42.27560043334961,-82.95559692382812,Canada,North America,YQG,CYQG,622,0.3333333333333333,6.0
